iter	RMSE
0	0.9882438984
1	0.9755530409
2	0.9638482556
3	0.9494130427
4	0.9370908619
5	0.9175387647
6	0.9083206465
7	0.897993707
8	0.8932645972
9	0.8779215272
10	0.8687022148
11	0.853106814
12	0.8423408919
13	0.8321773455
14	0.8191184879
15	0.8050266268
16	0.7968675377
17	0.7816287408
18	0.7708042446
19	0.7628782436
20	0.7551939527
21	0.7508926387
22	0.7373200771
23	0.7317519397
24	0.7251108418
25	0.717933487
26	0.7093283354
27	0.7010218895
28	0.6922808359
29	0.6829914518
30	0.6781734828
31	0.6654651999
32	0.6569309083
33	0.6427565398
34	0.629715589
35	0.6161466284
36	0.611522743
37	0.5974650818
38	0.5918078839
39	0.5804128446
40	0.5662551305
41	0.5534933958
42	0.5424644683
43	0.5384560139
44	0.5289182135
45	0.5252875798
46	0.5150067974
47	0.5059085687
48	0.4928195415
49	0.4884788751
50	0.4787414413
51	0.4684736773
52	0.4597424529
53	0.4514962647
54	0.4495513939
55	0.4395139044
56	0.4358682881
57	0.4271582475
58	0.4168389256
59	0.4067030377
60	0.399305579
61	0.3921678042
62	0.3867243056
63	0.3779684069
64	0.3713256123
65	0.3633801584
66	0.3622137139
67	0.3579680925
68	0.3506376021
69	0.3449029545
70	0.3414932012
71	0.3389066708
72	0.3348563809
73	0.3305127259
74	0.3226195931
75	0.315805233
76	0.3119226517
77	0.3038096395
78	0.3003466518
79	0.2914872515
80	0.286875297
81	0.2810020692
82	0.2745770989
83	0.2708143744
84	0.2690925537
85	0.2641697509
86	0.2615672253
87	0.2569708731
88	0.2539597683
89	0.2490355955
90	0.2454625557
91	0.242847701
92	0.2396816256
93	0.2362922729
94	0.235368106
95	0.2348099055
96	0.2300089723
97	0.2250496603
98	0.2228561432
99	0.220124277
