iter	Passed	Remaining
0	160	15867
1	176	8633
2	192	6227
3	211	5076
4	225	4278
5	239	3745
6	251	3337
7	264	3043
8	276	2795
9	285	2567
10	296	2396
11	305	2243
12	316	2118
13	323	1986
14	331	1879
15	342	1800
16	352	1721
17	356	1626
18	365	1556
19	373	1492
20	380	1433
21	389	1380
22	396	1327
23	404	1281
24	417	1252
25	423	1204
26	433	1170
27	440	1133
28	448	1098
29	458	1068
30	465	1037
31	475	1009
32	483	981
33	493	957
34	501	931
35	509	906
36	519	885
37	527	860
38	538	842
39	561	842
40	571	821
41	585	809
42	608	806
43	619	787
44	626	765
45	636	747
46	648	731
47	661	716
48	672	700
49	681	681
50	692	665
51	704	649
52	716	635
53	728	620
54	737	603
55	746	586
56	753	568
57	762	552
58	771	536
59	780	520
60	788	504
61	799	490
62	807	474
63	817	459
64	828	445
65	835	430
66	841	414
67	848	399
68	855	384
69	862	369
70	869	355
71	877	341
72	884	327
73	892	313
74	900	300
75	907	286
76	915	273
77	922	260
78	931	247
79	938	234
80	947	222
81	958	210
82	965	197
83	973	185
84	981	173
85	989	161
86	998	149
87	1007	137
88	1016	125
89	1025	113
90	1031	102
91	1040	90
92	1050	79
93	1060	67
94	1070	56
95	1081	45
96	1089	33
97	1097	22
98	1104	11
99	1115	0
