Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
31.12.2020,1.00,6 497.00,6 529.50,2020
31.12.2020,2.00,11 892.50,11 940.00,2020
31.12.2020,5.00,28 427.50,28 512.50,2020
31.12.2020,10.00,52 899.00,53 004.50,2020
31.12.2020,31.1035,161 693.00,164 118.50,2020
31.12.2020,100.00,509 568.00,524 855.00,2020
30.12.2020,1.00,6 473.00,6 505.00,2020
30.12.2020,2.00,11 844.50,11 891.50,2020
30.12.2020,5.00,28 306.50,28 391.50,2020
30.12.2020,10.00,52 657.50,52 762.50,2020
30.12.2020,31.1035,160 943.00,163 357.00,2020
30.12.2020,100.00,507 156.50,522 371.00,2020
29.12.2020,1.00,6 467.00,6 499.50,2020
29.12.2020,2.00,11 833.00,11 880.00,2020
29.12.2020,5.00,28 278.00,28 362.50,2020
29.12.2020,10.00,52 599.50,52 705.00,2020
29.12.2020,31.1035,160 764.00,163 175.50,2020
29.12.2020,100.00,506 581.50,521 779.00,2020
28.12.2020,1.00,6 417.50,6 449.50,2020
28.12.2020,2.00,11 733.50,11 780.50,2020
28.12.2020,5.00,28 028.00,28 112.00,2020
28.12.2020,10.00,52 100.00,52 204.00,2020
28.12.2020,31.1035,159 212.00,161 600.00,2020
28.12.2020,100.00,501 591.00,516 638.50,2020
25.12.2020,1.00,6 523.00,6 555.50,2020
25.12.2020,2.00,11 945.00,11 992.50,2020
25.12.2020,5.00,28 559.50,28 645.00,2020
25.12.2020,10.00,53 163.00,53 269.50,2020
25.12.2020,31.1035,162 513.50,164 951.50,2020
25.12.2020,100.00,512 206.50,527 572.50,2020
24.12.2020,1.00,6 496.50,6 529.00,2020
24.12.2020,2.00,11 891.50,11 939.00,2020
24.12.2020,5.00,28 425.50,28 511.00,2020
24.12.2020,10.00,52 895.50,53 001.50,2020
24.12.2020,31.1035,161 683.50,164 108.50,2020
24.12.2020,100.00,509 536.50,524 822.50,2020
23.12.2020,1.00,6 373.00,6 405.00,2020
23.12.2020,2.00,11 645.00,11 692.00,2020
23.12.2020,5.00,27 805.50,27 889.00,2020
23.12.2020,10.00,51 655.50,51 759.00,2020
23.12.2020,31.1035,157 832.00,160 199.50,2020
23.12.2020,100.00,497 155.00,512 070.00,2020
22.12.2020,1.00,6 353.50,6 385.00,2020
22.12.2020,2.00,11 605.50,11 652.00,2020
22.12.2020,5.00,27 705.50,27 789.00,2020
22.12.2020,10.00,51 455.50,51 558.50,2020
22.12.2020,31.1035,157 211.50,159 569.50,2020
22.12.2020,100.00,495 159.00,510 013.50,2020
21.12.2020,1.00,6 358.50,6 390.50,2020
21.12.2020,2.00,11 616.00,11 662.50,2020
21.12.2020,5.00,27 733.00,27 816.00,2020
21.12.2020,10.00,54 620.50,54 730.00,2020
21.12.2020,31.1035,167 021.00,169 526.00,2020
21.12.2020,100.00,491 085.00,505 818.00,2020
18.12.2020,1.00,6 535.00,6 568.00,2020
18.12.2020,2.00,11 969.00,12 017.00,2020
18.12.2020,5.00,28 621.00,28 706.50,2020
18.12.2020,10.00,56 397.00,56 509.50,2020
18.12.2020,31.1035,172 537.00,175 125.00,2020
18.12.2020,100.00,508 820.00,524 084.50,2020
17.12.2020,1.00,6 444.00,6 476.00,2020
17.12.2020,2.00,11 786.50,11 834.00,2020
17.12.2020,5.00,28 161.50,28 246.00,2020
17.12.2020,10.00,55 478.50,55 589.50,2020
17.12.2020,31.1035,169 685.00,172 230.50,2020
17.12.2020,100.00,499 650.50,514 640.00,2020
16.12.2020,1.00,6 419.50,6 451.50,2020
16.12.2020,2.00,11 737.50,11 784.50,2020
16.12.2020,5.00,28 037.50,28 122.00,2020
16.12.2020,10.00,55 230.50,55 341.00,2020
16.12.2020,31.1035,168 915.00,171 448.50,2020
16.12.2020,100.00,497 174.50,512 090.00,2020
15.12.2020,1.00,6 382.00,6 414.00,2020
15.12.2020,2.00,11 663.00,11 709.50,2020
15.12.2020,5.00,27 850.50,27 934.00,2020
15.12.2020,10.00,54 856.00,54 966.00,2020
15.12.2020,31.1035,167 752.50,170 269.00,2020
15.12.2020,100.00,493 438.00,508 241.00,2020
14.12.2020,1.00,6 503.00,6 535.50,2020
14.12.2020,2.00,11 904.50,11 952.00,2020
14.12.2020,5.00,28 458.00,28 543.50,2020
14.12.2020,10.00,56 071.50,56 183.50,2020
14.12.2020,31.1035,171 526.50,174 099.50,2020
14.12.2020,100.00,505 570.50,520 738.00,2020
11.12.2020,1.00,6 509.50,6 542.00,2020
11.12.2020,2.00,11 917.50,11 965.00,2020
11.12.2020,5.00,28 490.50,28 575.50,2020
11.12.2020,10.00,56 135.50,56 248.00,2020
11.12.2020,31.1035,171 726.00,174 301.50,2020
11.12.2020,100.00,506 212.00,521 398.50,2020
10.12.2020,1.00,6 502.00,6 534.50,2020
10.12.2020,2.00,11 903.00,11 951.00,2020
10.12.2020,5.00,28 455.00,28 540.00,2020
10.12.2020,10.00,56 064.50,56 176.50,2020
10.12.2020,31.1035,171 505.50,174 078.00,2020
10.12.2020,100.00,505 503.00,520 668.00,2020
09.12.2020,1.00,6 574.00,6 606.50,2020
09.12.2020,2.00,12 046.50,12 094.50,2020
09.12.2020,5.00,28 815.00,28 901.50,2020
09.12.2020,10.00,56 785.50,56 899.00,2020
09.12.2020,31.1035,173 744.00,176 350.00,2020
09.12.2020,100.00,512 700.50,528 081.50,2020
08.12.2020,1.00,6 551.50,6 584.00,2020
08.12.2020,2.00,12 001.50,12 049.50,2020
08.12.2020,5.00,28 702.00,28 788.50,2020
08.12.2020,10.00,56 559.50,56 672.50,2020
08.12.2020,31.1035,173 042.00,175 637.50,2020
08.12.2020,100.00,510 443.50,525 757.00,2020
07.12.2020,1.00,6 505.50,6 538.00,2020
07.12.2020,2.00,11 910.00,11 957.50,2020
07.12.2020,5.00,28 472.00,28 557.50,2020
