Unnamed: 0,Дата,Валюта,Покупка,Продажа,Курс,Банк,Индекс
0.0,2024-10-01,USD,86.85,87.35,Наличные,Оптима,
1.0,2024-10-01,KZT,0.116,0.182,Наличные,Оптима,
2.0,2024-10-01,EUR,90.7,91.7,Наличные,Оптима,
3.0,2024-10-01,RUB,0.825,0.855,Наличные,Оптима,
4.0,2024-10-01,USD,86.65,87.05,Безналичные,Оптима,
5.0,2024-10-01,KZT,0.116,0.182,Безналичные,Оптима,
6.0,2024-10-01,EUR,90.7,91.7,Безналичные,Оптима,
7.0,2024-10-01,RUB,0.8,0.88,Безналичные,Оптима,
8.0,2024-10-02,USD,86.85,87.35,Наличные,Оптима,
9.0,2024-10-02,KZT,0.116,0.182,Наличные,Оптима,
10.0,2024-10-02,EUR,90.7,91.7,Наличные,Оптима,
11.0,2024-10-02,RUB,0.825,0.855,Наличные,Оптима,
12.0,2024-10-02,USD,86.65,87.05,Безналичные,Оптима,
13.0,2024-10-02,KZT,0.116,0.182,Безналичные,Оптима,
14.0,2024-10-02,EUR,90.7,91.7,Безналичные,Оптима,
15.0,2024-10-02,RUB,0.8,0.88,Безналичные,Оптима,
16.0,2024-10-03,USD,86.85,87.35,Наличные,Оптима,
17.0,2024-10-03,KZT,0.116,0.182,Наличные,Оптима,
18.0,2024-10-03,EUR,90.7,91.7,Наличные,Оптима,
19.0,2024-10-03,RUB,0.825,0.855,Наличные,Оптима,
20.0,2024-10-03,USD,86.65,87.05,Безналичные,Оптима,
21.0,2024-10-03,KZT,0.116,0.182,Безналичные,Оптима,
22.0,2024-10-03,EUR,90.7,91.7,Безналичные,Оптима,
23.0,2024-10-03,RUB,0.8,0.88,Безналичные,Оптима,
24.0,2024-10-04,USD,86.85,87.35,Наличные,Оптима,
25.0,2024-10-04,KZT,0.116,0.182,Наличные,Оптима,
26.0,2024-10-04,EUR,90.7,91.7,Наличные,Оптима,
27.0,2024-10-04,RUB,0.825,0.855,Наличные,Оптима,
28.0,2024-10-04,USD,86.65,87.05,Безналичные,Оптима,
29.0,2024-10-04,KZT,0.116,0.182,Безналичные,Оптима,
30.0,2024-10-04,EUR,90.7,91.7,Безналичные,Оптима,
31.0,2024-10-04,RUB,0.8,0.88,Безналичные,Оптима,
32.0,2024-10-05,USD,86.85,87.35,Наличные,Оптима,
33.0,2024-10-05,KZT,0.116,0.182,Наличные,Оптима,
34.0,2024-10-05,EUR,90.7,91.7,Наличные,Оптима,
35.0,2024-10-05,RUB,0.825,0.855,Наличные,Оптима,
36.0,2024-10-05,USD,86.65,87.05,Безналичные,Оптима,
37.0,2024-10-05,KZT,0.116,0.182,Безналичные,Оптима,
38.0,2024-10-05,EUR,90.7,91.7,Безналичные,Оптима,
39.0,2024-10-05,RUB,0.8,0.88,Безналичные,Оптима,
40.0,2024-10-06,USD,86.85,87.35,Наличные,Оптима,
41.0,2024-10-06,KZT,0.116,0.182,Наличные,Оптима,
42.0,2024-10-06,EUR,90.7,91.7,Наличные,Оптима,
43.0,2024-10-06,RUB,0.825,0.855,Наличные,Оптима,
44.0,2024-10-06,USD,86.65,87.05,Безналичные,Оптима,
45.0,2024-10-06,KZT,0.116,0.182,Безналичные,Оптима,
46.0,2024-10-06,EUR,90.7,91.7,Безналичные,Оптима,
47.0,2024-10-06,RUB,0.8,0.88,Безналичные,Оптима,
48.0,2024-10-07,USD,86.85,87.35,Наличные,Оптима,
49.0,2024-10-07,KZT,0.116,0.182,Наличные,Оптима,
50.0,2024-10-07,EUR,90.7,91.7,Наличные,Оптима,
51.0,2024-10-07,RUB,0.825,0.855,Наличные,Оптима,
52.0,2024-10-07,USD,86.65,87.05,Безналичные,Оптима,
53.0,2024-10-07,KZT,0.116,0.182,Безналичные,Оптима,
54.0,2024-10-07,EUR,90.7,91.7,Безналичные,Оптима,
55.0,2024-10-07,RUB,0.8,0.88,Безналичные,Оптима,
56.0,2024-10-08,USD,86.85,87.35,Наличные,Оптима,
57.0,2024-10-08,KZT,0.116,0.182,Наличные,Оптима,
58.0,2024-10-08,EUR,90.7,91.7,Наличные,Оптима,
59.0,2024-10-08,RUB,0.825,0.855,Наличные,Оптима,
60.0,2024-10-08,USD,86.65,87.05,Безналичные,Оптима,
61.0,2024-10-08,KZT,0.116,0.182,Безналичные,Оптима,
62.0,2024-10-08,EUR,90.7,91.7,Безналичные,Оптима,
63.0,2024-10-08,RUB,0.8,0.88,Безналичные,Оптима,
64.0,2024-10-09,USD,86.85,87.35,Наличные,Оптима,
65.0,2024-10-09,KZT,0.116,0.182,Наличные,Оптима,
66.0,2024-10-09,EUR,90.7,91.7,Наличные,Оптима,
67.0,2024-10-09,RUB,0.825,0.855,Наличные,Оптима,
68.0,2024-10-09,USD,86.65,87.05,Безналичные,Оптима,
69.0,2024-10-09,KZT,0.116,0.182,Безналичные,Оптима,
70.0,2024-10-09,EUR,90.7,91.7,Безналичные,Оптима,
71.0,2024-10-09,RUB,0.8,0.88,Безналичные,Оптима,
72.0,2024-10-10,USD,86.85,87.35,Наличные,Оптима,
73.0,2024-10-10,KZT,0.116,0.182,Наличные,Оптима,
74.0,2024-10-10,EUR,90.7,91.7,Наличные,Оптима,
75.0,2024-10-10,RUB,0.825,0.855,Наличные,Оптима,
76.0,2024-10-10,USD,86.65,87.05,Безналичные,Оптима,
77.0,2024-10-10,KZT,0.116,0.182,Безналичные,Оптима,
78.0,2024-10-10,EUR,90.7,91.7,Безналичные,Оптима,
79.0,2024-10-10,RUB,0.8,0.88,Безналичные,Оптима,
80.0,2024-10-11,USD,86.85,87.35,Наличные,Оптима,
81.0,2024-10-11,KZT,0.116,0.182,Наличные,Оптима,
82.0,2024-10-11,EUR,90.7,91.7,Наличные,Оптима,
83.0,2024-10-11,RUB,0.825,0.855,Наличные,Оптима,
84.0,2024-10-11,USD,86.65,87.05,Безналичные,Оптима,
85.0,2024-10-11,KZT,0.116,0.182,Безналичные,Оптима,
86.0,2024-10-11,EUR,90.7,91.7,Безналичные,Оптима,
87.0,2024-10-11,RUB,0.8,0.88,Безналичные,Оптима,
