Дата,Kyrgyz_Altyn_Slitok_1_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_1_Цена_продажи,Kyrgyz_Altyn_Slitok_2_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_2_Цена_продажи,Kyrgyz_Altyn_Slitok_5_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_5_Цена_продажи,Kyrgyz_Altyn_Slitok_10_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_10_Цена_продажи,Kyrgyz_Altyn_Slitok_20_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_20_Цена_продажи,Kyrgyz_Altyn_Slitok_31_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_31_Цена_продажи,Kyrgyz_Altyn_Slitok_50_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_50_Цена_продажи,Kyrgyz_Altyn_Slitok_100_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_100_Цена_продажи,Kyrgyz_Altyn_Slitok_1000_Цена_обратного_выкупа,Kyrgyz_Altyn_Slitok_1000_Цена_продажи,NBKR_Slitok_1_Цена_обратного_выкупа,NBKR_Slitok_1_Цена_продажи,NBKR_Slitok_2_Цена_обратного_выкупа,NBKR_Slitok_2_Цена_продажи,NBKR_Slitok_5_Цена_обратного_выкупа,NBKR_Slitok_5_Цена_продажи,NBKR_Slitok_10_Цена_обратного_выкупа,NBKR_Slitok_10_Цена_продажи,NBKR_Slitok_31_Цена_обратного_выкупа,NBKR_Slitok_31_Цена_продажи,NBKR_Slitok_100_Цена_обратного_выкупа,NBKR_Slitok_100_Цена_продажи,Optima_Покупка_EUR_Безналичные,Optima_Покупка_KZT_Безналичные,Optima_Покупка_RUB_Безналичные,Optima_Покупка_USD_Безналичные,Optima_Продажа_EUR_Безналичные,Optima_Продажа_KZT_Безналичные,Optima_Продажа_RUB_Безналичные,Optima_Продажа_USD_Безналичные,Цена_разница
2022-03-24,8724.268830605077,8715.581686769612,16144.680476395155,16234.997458268675,38755.515840691354,38836.19655854938,76072.08071311165,76583.67810485211,149083.49280524676,152083.73634955785,232096.14012367086,237356.57256559472,374770.47770081053,386212.61977625336,747201.7489719408,766468.3089632322,7639243.307370359,7622410.147976766,8851.276880625714,8857.64040454347,16152.119964052163,16439.019027590268,38862.84467540486,38936.25023510676,76416.72120558203,76529.25478210162,235216.06535775636,237271.25548883015,751783.4127857763,768744.5566941364,89.59854836484996,0.12043160409192495,0.7954601387347293,86.39318670784812,92.39060837408476,0.17841450988864194,0.8422524949044942,88.34999729939987,-43.60608179964771
2022-03-25,8730.348966091296,8734.257735933956,16141.3401151792,16295.657147735981,38879.79231443821,38921.97356708506,76134.21543585736,76074.29253752637,150198.45723367285,153751.35058009563,231665.26183426232,237254.84847612417,374034.2720221154,383910.3158846043,743232.0488055476,768763.4071838461,7614606.450348452,7620772.210737468,8769.0400826151,8846.833071717821,16415.945487357694,16322.350930159027,38907.00866360313,39197.75267468002,76473.53222156363,76416.21286544704,234998.70079757032,237387.08296959987,747849.3103377739,763180.4652860792,90.53421987849202,0.11946362908054622,0.8076360120617472,87.78467460029051,92.34980100113322,0.18108753720858972,0.8761772532233438,86.92812217446625,-43.022778819780534
2022-03-26,8690.134095991625,8783.141709424124,16251.840312180457,16286.910129273496,38862.17178644274,38998.39380270796,76473.1473886488,76333.48103123793,149810.9609546201,153424.1372565901,232340.32156763086,237818.1732548149,374110.0787864471,383840.17901500186,740303.0546367074,764602.4642079289,7590860.9540361725,7649883.668294899,8723.11281856398,8793.421431776995,16221.080838156346,16355.743285320976,38945.54203484679,39090.2692119932,75950.73542280367,76585.85979193237,235935.52729158563,235342.8490704497,749069.0906456815,766968.2779065376,89.36751087578025,0.11721533994103527,0.85367978167843,87.1244794095485,92.42730902648744,0.18665655451887822,0.8799696510376815,88.07150025339135,-44.25171914789328
2022-03-27,8740.473722634299,8791.38580381462,16280.662915368905,16243.663844779207,38986.636032059476,38772.91453368185,76114.85062471066,75698.59783921952,149481.65734881494,152204.37789778097,233611.5343638937,237754.35777301664,374792.1429056559,386359.85238971724,743291.4426451691,767169.4603623869,7620824.748729312,7653534.747787317,8741.383426881306,8899.608552914855,16312.4130924126,16385.771546492473,39141.697589138596,39291.23074455384,76374.02842110944,76221.37765024145,234268.47373599443,235515.9744031764,751941.2742109968,769337.9525142802,89.24009175185228,0.11798505792696982,0.8494299070549607,86.43786961530714,91.61081874235745,0.1822257454646959,0.8766914445855893,87.22122224343114,-43.56630625177035
2022-03-28,8708.08160982762,8742.163150632949,16182.794412557572,16359.857825204943,38793.89457318788,39001.454890458306,75826.10854422352,75857.77352224229,149494.79178080274,152401.1179652646,233358.7061026724,237833.61346710066,374923.8097205,384226.91208783415,746522.6909590559,771114.7089629173,7593335.820375671,7647988.645115064,8871.927215279837,8794.823057411844,16345.946588154606,16304.174272345324,38808.92487739252,38939.14599104028,76236.31146330075,76587.28139022787,235147.40365342642,235849.2703916849,747719.101933109,760621.8676130472,89.39568565065765,0.11529461880212712,0.8136340209785836,87.10127373662425,92.33986650431133,0.17986316668503238,0.8664428978529287,88.0048891852771,-43.6134578684753
2022-03-29,8681.466559260793,8754.188279190892,16174.68001408745,16268.965615248977,38744.948087172605,38800.67973911354,76042.14714975687,75812.69193787336,149103.27456260798,152323.47078849468,234250.67297860322,237115.61414357912,375049.08928685595,384142.4781312642,741639.6493716164,766877.8527610302,7564635.730120072,7684852.480988951,8763.30950981688,8831.915019493801,16216.30361786318,16477.30293655992,38938.642939336976,39281.31028413801,76321.45296077391,76481.18777562228,234979.1031410499,238890.75291347393,748722.1034849898,769989.3175292377,89.27169559384966,0.11411602114222692,0.8052773683146781,86.54822214061203,92.4087591905855,0.1793874834218777,0.8409118711472924,88.21966401434769,-43.38966642383769
2022-03-30,8670.47501753244,8778.381585669233,16130.194933364395,16293.514414649822,38839.264068287615,39081.07324705263,76410.97475166703,76456.99865314903,149999.01385458297,152568.69637027575,231587.7330118914,236691.60528608446,372971.3701373217,383398.43318014225,749070.537905549,772622.7924598493,7579532.744818859,7679688.308602202,8840.170439907333,8891.153044852683,16322.01794481038,16448.469255227417,38848.698883228644,39208.3822574235,76338.94862435322,76468.28678637392,235227.48369818224,235040.1132242582,753237.6510476113,761500.3363337225,89.85169667032237,0.11923031464385893,0.8669309198322019,87.31168502415687,92.99898351039622,0.1827088208980683,0.8910669482585869,88.10740859941345,-44.7475981613831
2022-03-31,8735.050089393628,8704.906654401104,16276.635133549058,16256.477818066047,38706.43926348975,38732.10141335375,75813.73404096666,76304.12024172267,150820.79473136755,153738.7020213099,233131.29101363657,236006.0575380407,375203.56396825484,384038.43485301296,740435.6413069335,767226.2403521328,7620202.312901473,7606193.462361006,8895.611618888857,8923.935183327945,16282.872292116335,16391.92041925773,39012.28300940195,38953.32862845915,76425.35938295486,76360.41556972406,235668.16366287388,237606.56587301343,754273.9651571224,765884.2887528092,90.82556681101642,0.1158421561442959,0.8744096924460989,87.16278892822272,91.70312944683464,0.18378360354080836,0.9009497674032494,87.36282144985638,-44.15191593898107
2022-04-01,8680.027397527367,8701.944121892611,16282.884486835173,16207.30012116154,38825.99935856075,38989.17015843893,76197.45775944607,76540.67248727944,150064.79837712873,152300.1385130429,234204.83256188355,238453.9290963326,373304.13024848496,385195.4797370851,740751.8541285369,766732.2419695315,7590107.27118692,7602915.209009583,8851.790359518127,8753.375004509639,16428.09868284494,16441.77355189524,38820.62644911611,39131.80139087873,76184.49625131645,76482.79538617081,234255.1005583391,235160.9358692444,750291.7098180231,769690.1580468552,90.64676161364847,0.12025559337311974,0.8262563117484836,87.64288164579229,92.63309421667407,0.18249495552112327,0.8269983044795589,88.21886003901038,-43.39108847868113
2022-04-02,8719.23937403996,8739.94891367546,16139.70629829615,16276.553492045085,38910.67754517365,38706.62036479097,76088.41578689119,76212.82430509699,150674.54371758195,152153.78238006416,233032.42613128814,235994.90831787267,373282.53524015826,384763.8863355235,747187.7682477703,764756.2549556763,7644239.091783946,7662149.348597959,8787.220211521273,8837.04996180575,16240.691348117094,16487.82383081006,39122.780967383886,39059.40817086567,76109.86371305738,76335.30263461184,234440.08980883297,236077.73581161065,750899.9892078484,765445.7071744115,89.42687609182083,0.11470020350832653,0.8211607675666849,86.43525738959644,92.20102956741698,0.18075906894476412,0.8828384616316735,88.06360611367734,-43.80312840698107
