Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
31.12.2015,1.00,4 079.00,4 099.50,2015
31.12.2015,2.00,7 056.50,7 085.00,2015
31.12.2015,5.00,16 262.50,16 311.50,2015
31.12.2015,10.00,31 680.50,31 744.00,2015
31.12.2015,31.1035,95 778.00,95 874.00,2015
31.12.2015,100.00,265 523.00,-,2015
30.12.2015,1.00,4 103.00,4 123.50,2015
30.12.2015,2.00,7 104.00,7 132.50,2015
30.12.2015,5.00,16 382.50,16 431.50,2015
30.12.2015,10.00,31 920.00,31 984.00,2015
30.12.2015,31.1035,96 522.00,96 618.50,2015
30.12.2015,100.00,267 914.00,-,2015
29.12.2015,1.00,4 105.50,4 126.50,2015
29.12.2015,2.00,7 110.00,7 138.50,2015
29.12.2015,5.00,16 397.50,16 446.50,2015
29.12.2015,10.00,31 950.00,32 014.00,2015
29.12.2015,31.1035,96 615.50,96 712.00,2015
29.12.2015,100.00,268 214.50,-,2015
28.12.2015,1.00,4 106.00,4 126.50,2015
28.12.2015,2.00,7 110.50,7 139.00,2015
28.12.2015,5.00,16 398.50,16 447.50,2015
28.12.2015,10.00,31 951.50,32 015.50,2015
28.12.2015,31.1035,96 620.50,96 717.00,2015
28.12.2015,100.00,268 230.50,-,2015
27.12.2015,1.00,4 106.00,4 126.50,2015
27.12.2015,2.00,7 110.50,7 139.00,2015
27.12.2015,5.00,16 398.50,16 447.50,2015
27.12.2015,10.00,31 951.50,32 015.50,2015
27.12.2015,31.1035,96 620.50,96 717.00,2015
27.12.2015,100.00,268 230.50,-,2015
26.12.2015,1.00,4 106.00,4 126.50,2015
26.12.2015,2.00,7 110.50,7 139.00,2015
26.12.2015,5.00,16 398.50,16 447.50,2015
26.12.2015,10.00,31 951.50,32 015.50,2015
26.12.2015,31.1035,96 620.50,96 717.00,2015
26.12.2015,100.00,268 230.50,-,2015
25.12.2015,1.00,4 106.50,4 127.00,2015
25.12.2015,2.00,7 112.00,7 140.50,2015
25.12.2015,5.00,16 401.50,16 451.00,2015
25.12.2015,10.00,31 958.50,32 022.50,2015
25.12.2015,31.1035,96 641.50,96 738.50,2015
25.12.2015,100.00,268 299.50,-,2015
24.12.2015,1.00,4 098.00,4 118.50,2015
24.12.2015,2.00,7 095.00,7 123.50,2015
24.12.2015,5.00,16 359.00,16 408.00,2015
24.12.2015,10.00,31 873.00,31 936.50,2015
24.12.2015,31.1035,96 376.00,96 472.50,2015
24.12.2015,100.00,267 445.00,-,2015
23.12.2015,1.00,4 114.50,4 135.50,2015
23.12.2015,2.00,7 128.00,7 156.50,2015
23.12.2015,5.00,16 442.50,16 492.00,2015
23.12.2015,10.00,32 040.50,32 104.50,2015
23.12.2015,31.1035,96 896.00,96 993.00,2015
23.12.2015,100.00,269 117.00,-,2015
22.12.2015,1.00,4 123.50,4 144.00,2015
22.12.2015,2.00,7 145.50,7 174.00,2015
22.12.2015,5.00,16 486.50,16 536.00,2015
22.12.2015,10.00,32 127.50,32 192.00,2015
22.12.2015,31.1035,97 167.00,97 264.50,2015
22.12.2015,100.00,269 988.50,-,2015
21.12.2015,1.00,4 084.50,4 105.00,2015
21.12.2015,2.00,7 068.00,7 096.00,2015
21.12.2015,5.00,16 291.00,16 339.50,2015
21.12.2015,10.00,31 736.50,31 800.00,2015
21.12.2015,31.1035,95 952.50,96 048.50,2015
21.12.2015,100.00,266 083.50,266 349.50,2015
20.12.2015,1.00,4 052.50,4 073.00,2015
20.12.2015,2.00,7 004.00,7 032.00,2015
20.12.2015,5.00,16 130.50,16 179.00,2015
20.12.2015,10.00,31 416.50,31 479.50,2015
20.12.2015,31.1035,94 958.50,95 053.50,2015
20.12.2015,100.00,262 887.50,263 150.00,2015
19.12.2015,1.00,4 052.50,4 073.00,2015
19.12.2015,2.00,7 004.00,7 032.00,2015
19.12.2015,5.00,16 130.50,16 179.00,2015
19.12.2015,10.00,31 416.50,31 479.50,2015
19.12.2015,31.1035,94 958.50,95 053.50,2015
19.12.2015,100.00,262 887.50,263 150.00,2015
18.12.2015,1.00,4 052.50,4 073.00,2015
18.12.2015,2.00,7 004.00,7 032.00,2015
18.12.2015,5.00,16 130.50,16 178.50,2015
18.12.2015,10.00,31 415.50,31 478.50,2015
18.12.2015,31.1035,94 956.00,95 051.00,2015
18.12.2015,100.00,262 879.00,263 142.00,2015
17.12.2015,1.00,4 115.00,4 135.50,2015
17.12.2015,2.00,7 128.50,7 157.00,2015
17.12.2015,5.00,16 444.00,16 493.00,2015
17.12.2015,10.00,32 043.00,32 107.00,2015
17.12.2015,31.1035,96 903.50,97 000.50,2015
17.12.2015,100.00,269 141.00,269 410.00,2015
16.12.2015,1.00,4 081.50,4 102.00,2015
16.12.2015,2.00,7 062.00,7 090.00,2015
16.12.2015,5.00,16 275.50,16 324.50,2015
16.12.2015,10.00,31 706.50,31 769.50,2015
16.12.2015,31.1035,95 858.50,95 954.00,2015
16.12.2015,100.00,265 780.50,266 046.50,2015
15.12.2015,1.00,4 098.00,4 118.50,2015
15.12.2015,2.00,7 094.50,7 123.00,2015
15.12.2015,5.00,16 357.50,16 407.00,2015
15.12.2015,10.00,31 870.50,31 934.50,2015
15.12.2015,31.1035,96 368.50,96 465.00,2015
15.12.2015,100.00,267 421.00,267 688.50,2015
14.12.2015,1.00,4 108.50,4 129.00,2015
14.12.2015,2.00,7 115.50,7 144.00,2015
14.12.2015,5.00,16 410.50,16 459.50,2015
14.12.2015,10.00,31 976.00,32 040.00,2015
14.12.2015,31.1035,96 696.00,96 793.00,2015
14.12.2015,100.00,268 474.00,268 742.50,2015
13.12.2015,1.00,4 104.50,4 125.00,2015
13.12.2015,2.00,7 108.00,7 136.50,2015
13.12.2015,5.00,16 392.00,16 441.50,2015
13.12.2015,10.00,31 939.50,32 003.00,2015
13.12.2015,31.1035,96 582.50,96 679.00,2015
13.12.2015,100.00,268 108.00,268 376.00,2015
12.12.2015,1.00,4 104.50,4 125.00,2015
12.12.2015,2.00,7 108.00,7 136.50,2015
12.12.2015,5.00,16 392.00,16 441.50,2015
12.12.2015,10.00,31 939.50,32 003.00,2015
12.12.2015,31.1035,96 582.50,96 679.00,2015
12.12.2015,100.00,268 108.00,268 376.00,2015
11.12.2015,1.00,4 104.50,4 125.00,2015
