Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Source,Наличные_USD_Покупка,Наличные_USD_Продажа,Безналичные_USD_Покупка,Безналичные_USD_Продажа,Наличные_KZT_Покупка,Наличные_KZT_Продажа,Безналичные_KZT_Покупка,Безналичные_KZT_Продажа,Наличные_EUR_Покупка,Наличные_EUR_Продажа,Безналичные_EUR_Покупка,Безналичные_EUR_Продажа,Наличные_RUB_Покупка,Наличные_RUB_Продажа,Безналичные_RUB_Покупка,Безналичные_RUB_Продажа
2023-12-11,1.00,7 161.00,7 196.50,NBKR,,,,,,,,,,,,,,,,
2023-12-11,2.00,13 045.00,13 097.00,NBKR,,,,,,,,,,,,,,,,
2023-12-11,5.00,30 664.00,30 756.00,NBKR,,,,,,,,,,,,,,,,
2023-12-11,10.00,60 418.50,60 539.50,NBKR,,,,,,,,,,,,,,,,
2023-12-11,31.1035,185 047.00,187 822.50,NBKR,,,,,,,,,,,,,,,,
2023-12-11,100.00,584 650.00,602 189.50,NBKR,,,,,,,,,,,,,,,,
2023-12-12,1.00,7 099.50,7 135.00,NBKR,,,,,,,,,,,,,,,,
2023-12-12,2.00,12 922.50,12 974.00,NBKR,,,,,,,,,,,,,,,,
2023-12-12,5.00,30 355.50,30 446.50,NBKR,,,,,,,,,,,,,,,,
2023-12-12,10.00,59 802.00,59 921.50,NBKR,,,,,,,,,,,,,,,,
2023-12-12,31.1035,183 131.00,185 878.00,NBKR,,,,,,,,,,,,,,,,
2023-12-12,100.00,578 490.50,595 845.00,NBKR,,,,,,,,,,,,,,,,
2023-12-13,100.00,576 825.00,594 129.50,NBKR,,,,,,,,,,,,,,,,
2023-12-13,10.00,59 635.00,59 754.00,NBKR,,,,,,,,,,,,,,,,
2023-12-13,31.1035,182 613.00,185 352.00,NBKR,,,,,,,,,,,,,,,,
2023-12-13,2.00,12 889.00,12 940.50,NBKR,,,,,,,,,,,,,,,,
2023-12-13,5.00,30 272.00,30 363.00,NBKR,,,,,,,,,,,,,,,,
